epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,235.624,2.41024,4.47925,26.7033,0.02249,12.96,0.00183,0.32217,0.00535,0.00216,0.00105,0.18998,0.0022,0.00097,2.1515,5.38863,32.5557,0.02265,0,0.000360046,0.000360046,0.000360046
2,466.201,2.1623,4.1644,24.7893,0.01903,8.42155,0.00114,0.29068,0.00978,0.00337,0.00102,0.22147,0.00256,0.00085,2.25621,5.24039,31.9219,0.02515,0,0.000682175,0.000682175,0.000682175
3,685.867,2.12487,4.1593,23.2917,0.01903,5.00927,0.00137,0.30364,0.00686,0.00224,0.00072,0.16293,0.00339,0.00055,2.3698,4.60473,30.6363,0.02524,0,0.000955419,0.000955419,0.000955419
4,908.829,2.22266,4.20021,21.0636,0.01933,3.96492,0.81887,0.01277,0.06294,0.03082,0.81258,0.00851,0.02417,0.00657,2.35374,4.88378,26.6271,0.02659,0,0.000891022,0.000891022,0.000891022
5,1130.47,2.20085,4.15246,20.3163,0.01932,3.77191,0.00285,0.49097,0.01772,0.00547,0.0023,0.42304,0.00852,0.00217,2.50632,4.78014,28.3098,0.0292,0,0.000817696,0.000817696,0.000817696
6,1345.79,2.21986,4.01544,21.6238,0.02198,3.57124,0.83279,0.00851,0.0283,0.00797,0.83327,0.00851,0.00775,0.00203,2.4193,4.68538,23.3659,0.02819,0,0.00074437,0.00074437,0.00074437
7,1568.16,2.09658,3.9601,19.9917,0.02026,3.34357,0.63645,0.05277,0.03158,0.01292,0.40657,0.00426,0.01134,0.00444,2.30986,4.40551,21.5267,0.02437,0,0.000671044,0.000671044,0.000671044
8,1789.11,2.08149,3.91727,18.6722,0.02053,3.18884,0.46287,0.04851,0.0607,0.01938,0.00262,0.42431,0.03602,0.00753,2.12403,4.63168,19.7386,0.02343,0,0.000597718,0.000597718,0.000597718
9,2011,2.04192,3.7939,17.8129,0.01962,3.07869,0.50772,0.09273,0.08972,0.03401,0.00328,0.47949,0.04105,0.01131,2.22924,4.56392,18.8954,0.02416,0,0.000524392,0.000524392,0.000524392
10,2232.26,2.04835,3.76069,17.2399,0.01974,2.93699,0.23363,0.16996,0.1247,0.04827,0.09513,0.10165,0.07059,0.02456,2.17682,4.3235,17.7625,0.02226,0,0.000451066,0.000451066,0.000451066
11,2454.76,2.0064,3.66065,16.4145,0.01883,2.77298,0.59647,0.17721,0.09001,0.03256,0.02979,0.40653,0.06268,0.01735,2.1864,4.19729,17.5956,0.02188,0,0.00037774,0.00037774,0.00037774
12,2671.45,1.98937,3.71251,16.2015,0.01823,2.65964,0.4175,0.19028,0.08618,0.03664,0.37894,0.09817,0.06436,0.0197,2.0663,4.11991,17.0401,0.02075,0,0.000304414,0.000304414,0.000304414
13,2889.21,1.94836,3.65355,15.6958,0.01823,2.52608,0.40645,0.10813,0.09596,0.0398,0.39119,0.09537,0.08089,0.02729,2.03244,4.08512,16.4796,0.0208,0,0.000231088,0.000231088,0.000231088
14,3103.37,1.93447,3.62883,15.185,0.01795,2.38745,0.41737,0.14388,0.09682,0.04131,0.39235,0.21537,0.0847,0.02997,2.01209,4.14221,16.5144,0.02058,0,0.000157762,0.000157762,0.000157762
15,3317.5,1.93081,3.54073,15.0748,0.01792,2.3418,0.40862,0.14813,0.09492,0.04066,0.25885,0.2,0.06973,0.02496,2.01781,4.15832,16.4202,0.02002,0,8.4436e-05,8.4436e-05,8.4436e-05
